Date,PlayerID,Points,CLPoints
2026-08-10,550,5500,0
2026-08-10,552,5500,1000
2026-08-10,19,5500,1000
2026-08-10,131,5100,0
2026-08-10,4199,5000,2000
2026-08-10,1231,5000,1000
2026-08-10,3832,5000,1000
2026-08-10,1044,5000,5000
2026-08-10,2499,5000,5000
2026-08-10,175,4100,0
2026-08-10,20,4100,0
2026-08-10,2055,4000,1000
2026-08-10,2767,3500,1000
2026-08-10,3151,3500,2000
2026-08-10,2010,3500,1000
2026-08-10,2616,3000,0
2026-08-10,2888,2500,0
2026-08-10,92,2500,0
2026-08-10,2049,2500,0
2026-08-10,37,2500,0
2026-08-10,741,2500,0
2026-08-10,936,2500,0
2026-08-10,4613,2500,0
2026-08-10,128,2000,1000
2026-08-10,239,2000,2000
2026-08-10,946,2000,2000
2026-08-10,2061,2000,2000
2026-08-10,79,2000,2000
2026-08-10,2081,2000,2000
2026-08-10,2746,1000,0
2026-08-10,3528,1000,1000
2026-08-10,3192,1000,1000
2026-08-10,26,1000,1000
2026-08-10,733,1000,1000
2026-08-10,1812,1000,1000
2026-08-10,2340,1000,1000
2026-08-10,2317,0,0
2026-08-10,39,0,0
2026-08-10,1485,0,0
2026-08-10,2533,0,0
2026-08-10,2046,0,0
2026-08-10,16,0,0
2026-08-10,12,0,0
2026-08-10,224,0,0
2026-08-10,202,0,0
2026-08-10,17,0,0
2026-08-10,1,0,0
2026-08-10,154,0,0
2026-08-10,237,0,0
2026-08-10,3982,0,0
2026-08-10,2807,0,0
2026-08-10,2803,0,0
2026-08-10,4715,0,0
2026-08-10,2895,0,0
2026-08-10,4332,0,0
2026-08-10,2274,0,0
2026-08-10,2777,0,0
2026-08-10,2157,0,0
2026-08-10,613,0,0
2026-08-10,143,0,0
2026-08-10,18,0,0
2026-08-10,4223,0,0
